exp_name,config,checkpoint,dataset_version,corruption_type,corruption_severity,use_attention_fusion,use_self_attention,use_reliability_gate,clean_or_corrupted,mAP,NDS,mean_confidence,confidence_std,detection_count,sample_count,notes,output_dir
bevfusion_mini_attention_clean,/workspace/mmdetection3d/projects/BEVFusion/configs/bevfusion_lidar-cam_voxel0075_second_secfpn_1xb1-mini_attention_nus-3d.py,/workspace/checkpoints/bevfusion_lidar-cam_voxel0075_second_secfpn_8xb4-cyclic-20e_nus-3d-5239b1af.pth,v1.0-mini,none,none,True,True,True,clean,0.5732186065092647,0.5776910655742281,0.16634076905422548,0.25924997560035284,12671,81,Stage 8 clean preservation check (on),/workspace/outputs/bevfusion_mini_attention_clean
bevfusion_mini_attention_camera_fog_severe,/workspace/mmdetection3d/projects/BEVFusion/configs/bevfusion_mini_attention_corruption_runtime_nus-3d.py,/workspace/checkpoints/bevfusion_lidar-cam_voxel0075_second_secfpn_8xb4-cyclic-20e_nus-3d-5239b1af.pth,v1.0-mini,camera_fog,severe,True,True,True,corrupted,0.5574905530197454,0.5694170682890586,0.15085405673188854,0.24840014915626374,12902,81,Stage 9 pre-finetune attention check; zero-initialized residual branch.,/workspace/outputs/bevfusion_mini_attention_camera_fog_severe/results/pred_instances_3d
bevfusion_mini_attention_lidar_dropout_severe,/workspace/mmdetection3d/projects/BEVFusion/configs/bevfusion_mini_attention_corruption_runtime_nus-3d.py,/workspace/checkpoints/bevfusion_lidar-cam_voxel0075_second_secfpn_8xb4-cyclic-20e_nus-3d-5239b1af.pth,v1.0-mini,lidar_random_dropout,severe,True,True,True,corrupted,0.552836534699827,0.5583692595268653,0.14533765933427842,0.24049294887350875,13026,81,Stage 9 pre-finetune attention check; zero-initialized residual branch.,/workspace/outputs/bevfusion_mini_attention_lidar_dropout_severe/results/pred_instances_3d
bevfusion_mini_attention_camera_lidar_all_severe,/workspace/mmdetection3d/projects/BEVFusion/configs/bevfusion_mini_attention_corruption_runtime_nus-3d.py,/workspace/checkpoints/bevfusion_lidar-cam_voxel0075_second_secfpn_8xb4-cyclic-20e_nus-3d-5239b1af.pth,v1.0-mini,camera_lidar_all,severe,True,True,True,corrupted,0.02404726705079573,0.03246203694294208,0.02232969403609519,0.03584905465686443,5211,81,Stage 9 pre-finetune attention check; zero-initialized residual branch.,/workspace/outputs/bevfusion_mini_attention_camera_lidar_all_severe/results/pred_instances_3d
bevfusion_mini_attention_feature_gate_clean,/workspace/mmdetection3d/projects/BEVFusion/configs/bevfusion_lidar-cam_voxel0075_second_secfpn_1xb1-mini_attention_feature_gate_nus-3d.py,/workspace/checkpoints/bevfusion_lidar-cam_voxel0075_second_secfpn_8xb4-cyclic-20e_nus-3d-5239b1af.pth,v1.0-mini,none,none,True,True,True,clean,0.568364753583173,0.5736666908997667,0.1661254841599977,0.2590380010568451,12653,81,Stage 8 clean preservation check (feature),/workspace/outputs/bevfusion_mini_attention_feature_gate_clean
bevfusion_mini_finetuned_iter10_clean,/workspace/mmdetection3d/projects/BEVFusion/configs/bevfusion_lidar-cam_voxel0075_second_secfpn_1xb1-mini_attention_feature_gate_nus-3d.py,/workspace/work_dirs/bevfusion_mini_attention_feature_gate_debug_finetune/iter_10.pth,v1.0-mini,none,none,True,True,True,clean,0.5510911840780066,0.5637355707763113,0.16285806236192363,0.25700777147415343,12742,81,Stage 12 explicit eval of 10-iter attention-only finetuned checkpoint.,/workspace/outputs/bevfusion_mini_finetuned_iter10_clean/results/pred_instances_3d
bevfusion_mini_finetuned_iter10_camera_fog_severe,/workspace/mmdetection3d/projects/BEVFusion/configs/bevfusion_mini_attention_feature_gate_corruption_runtime_nus-3d.py,/workspace/work_dirs/bevfusion_mini_attention_feature_gate_debug_finetune/iter_10.pth,v1.0-mini,camera_fog,severe,True,True,True,corrupted,0.5466700513011781,0.5602747077899364,0.15036131547870346,0.2482379095700307,12858,81,Stage 12 explicit eval of 10-iter attention-only finetuned checkpoint.,/workspace/outputs/bevfusion_mini_finetuned_iter10_camera_fog_severe/results/pred_instances_3d
bevfusion_mini_finetuned_iter10_lidar_dropout_severe,/workspace/mmdetection3d/projects/BEVFusion/configs/bevfusion_mini_attention_feature_gate_corruption_runtime_nus-3d.py,/workspace/work_dirs/bevfusion_mini_attention_feature_gate_debug_finetune/iter_10.pth,v1.0-mini,lidar_random_dropout,severe,True,True,True,corrupted,0.5316447021104848,0.548244108082146,0.14170940597187714,0.23747146027732413,13100,81,Stage 12 explicit eval of 10-iter attention-only finetuned checkpoint.,/workspace/outputs/bevfusion_mini_finetuned_iter10_lidar_dropout_severe/results/pred_instances_3d
bevfusion_mini_finetuned_iter10_camera_lidar_all_severe,/workspace/mmdetection3d/projects/BEVFusion/configs/bevfusion_mini_attention_feature_gate_corruption_runtime_nus-3d.py,/workspace/work_dirs/bevfusion_mini_attention_feature_gate_debug_finetune/iter_10.pth,v1.0-mini,camera_lidar_all,severe,True,True,True,corrupted,0.028066356520961892,0.04111373788404617,0.02105500757945507,0.04601135625489542,6753,81,Stage 12 explicit eval of 10-iter attention-only finetuned checkpoint.,/workspace/outputs/bevfusion_mini_finetuned_iter10_camera_lidar_all_severe/results/pred_instances_3d
bevfusion_mini_safe_finetuned_iter10_clean,/workspace/mmdetection3d/projects/BEVFusion/configs/bevfusion_mini_attention_feature_gate_safe_clean_eval_nus-3d.py,/workspace/work_dirs/bevfusion_mini_attention_feature_gate_safe_debug_finetune/iter_10.pth,v1.0-mini,none,clean,True,True,True,clean,0.5597870234778757,0.5684035797485996,0.16303380572772508,0.256940044751409,12809,81,Stage 13 safe low-lr gate-init -8 attention-only finetune clean preservation check.,/workspace/outputs/bevfusion_mini_safe_finetuned_iter10_clean/results/pred_instances_3d
bevfusion_mini_safe_finetuned_iter10_camera_fog_severe,/workspace/mmdetection3d/projects/BEVFusion/configs/bevfusion_mini_attention_feature_gate_corruption_runtime_nus-3d.py,/workspace/work_dirs/bevfusion_mini_attention_feature_gate_safe_debug_finetune/iter_10.pth,v1.0-mini,camera_fog,severe,True,True,True,corrupted,0.5524328218456565,0.564479450346609,0.14876232451794819,0.24686706386291557,12988,81,Stage 14 safe low-lr gate-init -8 attention-only checkpoint severe corruption eval.,/workspace/outputs/bevfusion_mini_safe_finetuned_iter10_camera_fog_severe/results/pred_instances_3d
bevfusion_mini_safe_finetuned_iter10_lidar_dropout_severe,/workspace/mmdetection3d/projects/BEVFusion/configs/bevfusion_mini_attention_feature_gate_corruption_runtime_nus-3d.py,/workspace/work_dirs/bevfusion_mini_attention_feature_gate_safe_debug_finetune/iter_10.pth,v1.0-mini,lidar_random_dropout,severe,True,True,True,corrupted,0.5429243095201196,0.554247124677254,0.14186659347715339,0.23774276028923338,13221,81,Stage 14 safe low-lr gate-init -8 attention-only checkpoint severe corruption eval.,/workspace/outputs/bevfusion_mini_safe_finetuned_iter10_lidar_dropout_severe/results/pred_instances_3d
bevfusion_mini_safe_finetuned_iter10_camera_lidar_all_severe,/workspace/mmdetection3d/projects/BEVFusion/configs/bevfusion_mini_attention_feature_gate_corruption_runtime_nus-3d.py,/workspace/work_dirs/bevfusion_mini_attention_feature_gate_safe_debug_finetune/iter_10.pth,v1.0-mini,camera_lidar_all,severe,True,True,True,corrupted,0.026341274125859092,0.03680522654430538,0.021484003671411185,0.03886340740067827,5600,81,Stage 14 safe low-lr gate-init -8 attention-only checkpoint severe corruption eval.,/workspace/outputs/bevfusion_mini_safe_finetuned_iter10_camera_lidar_all_severe/results/pred_instances_3d
bevfusion_mini_regularized_finetuned_iter10_clean,/workspace/mmdetection3d/projects/BEVFusion/configs/bevfusion_mini_attention_feature_gate_regularized_clean_eval_nus-3d.py,/workspace/work_dirs/bevfusion_mini_attention_feature_gate_regularized_debug_finetune/iter_10.pth,v1.0-mini,none,clean,True,True,True,clean,0.5598181751018028,0.5684070901776357,0.16310231872836792,0.2570253041194184,12808,81,Stage 15 regularized low-lr gate-init -8 attention-only finetune clean preservation check.,/workspace/outputs/bevfusion_mini_regularized_finetuned_iter10_clean/results/pred_instances_3d
bevfusion_mini_regularized_gate6_finetuned_iter10_clean,/workspace/mmdetection3d/projects/BEVFusion/configs/bevfusion_mini_attention_feature_gate_regularized_gate6_clean_eval_nus-3d.py,/workspace/work_dirs/bevfusion_mini_attention_feature_gate_regularized_gate6_debug_finetune/iter_10.pth,v1.0-mini,none,clean,True,True,True,clean,0.5597665362270707,0.5684221047270919,0.16312237038558236,0.25710028590653605,12809,81,Stage 17 regularized gate-init -6 low-lr attention-only finetune clean preservation check.,/workspace/outputs/bevfusion_mini_regularized_gate6_finetuned_iter10_clean/results/pred_instances_3d
bevfusion_mini_proxy_gate_iter10_clean_eval,/workspace/mmdetection3d/projects/BEVFusion/configs/bevfusion_mini_attention_proxy_gate_corruption_runtime_nus-3d.py,/workspace/work_dirs/bevfusion_mini_attention_feature_gate_regularized_gate6_debug_finetune/iter_10.pth,v1.0-mini,none,none,True,True,True,clean,0.5598058052618606,0.5684444524792993,0.16312965543702185,0.2571069419444675,12809,81,Stage 18 proxy reliability gate clean eval; raw sensor reliability metadata drives gate.,/workspace/outputs/bevfusion_mini_proxy_gate_iter10_clean_eval/results/pred_instances_3d
bevfusion_mini_proxy_gate_iter10_camera_fog_severe_eval,/workspace/mmdetection3d/projects/BEVFusion/configs/bevfusion_mini_attention_proxy_gate_corruption_runtime_nus-3d.py,/workspace/work_dirs/bevfusion_mini_attention_feature_gate_regularized_gate6_debug_finetune/iter_10.pth,v1.0-mini,camera_fog,severe,True,True,True,corrupted,0.5525624004644998,0.5645863065540148,0.14884336319381952,0.2470334528260322,12989,81,Stage 18 proxy reliability gate camera fog severe eval; raw camera proxy lowers reliability and opens gate.,/workspace/outputs/bevfusion_mini_proxy_gate_iter10_camera_fog_severe_eval/results/pred_instances_3d
bevfusion_mini_proxy_gate_iter10_lidar_dropout_severe_eval,/workspace/mmdetection3d/projects/BEVFusion/configs/bevfusion_mini_attention_proxy_gate_corruption_runtime_nus-3d.py,/workspace/work_dirs/bevfusion_mini_attention_feature_gate_regularized_gate6_debug_finetune/iter_10.pth,v1.0-mini,lidar_random_dropout,severe,True,True,True,corrupted,0.5428999178939835,0.5542659516023942,0.14198394446121113,0.23792508598192663,13218,81,Stage 18 proxy reliability gate LiDAR random dropout severe eval; raw point-count proxy lowers reliability and opens gate.,/workspace/outputs/bevfusion_mini_proxy_gate_iter10_lidar_dropout_severe_eval/results/pred_instances_3d
